,names_to_use,GS,genus,phylum,class,order,family,Life_style,trophicMode
2196,Melanotaenium endogenum,19.17,Melanotaenium,Basidiomycota,Ustilaginomycetes,Ustilaginales,Melanotaeniaceae,Obligate association,Patotroph
2197,Melastiza chateri,27.74,Melastiza,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,NA,NA
2198,Meredithblackwellia eburnea,30.68,Meredithblackwellia,Basidiomycota,Microbotryomycetes,Kriegeriales,Kriegeriaceae,NA,NA
2199,Meripilus sumstinei,32.76,Meripilus,Basidiomycota,Agaricomycetes,Polyporales,Meripilaceae,NA,NA
2200,Meruliporia incrassata,75.66,Meruliporia,Basidiomycota,Agaricomycetes,Boletales,Coniophoraceae,Facultative association,Patotroph
2201,Metacordyceps chlamydosporia,43.12,Metacordyceps,Ascomycota,Sordariomycetes,Hypocreales,Clavicipitaceae,NA,NA
2202,Metacordyceps chlamydosporia,43.12,Metacordyceps,Ascomycota,Sordariomycetes,Hypocreales,Clavicipitaceae,NA,NA
2203,Metarhizium acridum,39.42,Metarhizium,Ascomycota,Sordariomycetes,Hypocreales,Clavicipitaceae,NA,NA
2204,Metarhizium anisopliae,37.76,Metarhizium,Ascomycota,Sordariomycetes,Hypocreales,Clavicipitaceae,Plant,Patotroph
2205,Metarhizium brunneum,37.22,Metarhizium,Ascomycota,Sordariomycetes,Hypocreales,Clavicipitaceae,NA,NA
2206,Metarhizium majus,42.02,Metarhizium,Ascomycota,Sordariomycetes,Hypocreales,Clavicipitaceae,NA,NA
2207,Metarhizium rileyi,31.95,Metarhizium,Ascomycota,Sordariomycetes,Hypocreales,Clavicipitaceae,NA,NA
2208,Metarhizium robertsii,40.6,Metarhizium,Ascomycota,Sordariomycetes,Hypocreales,Clavicipitaceae,NA,NA
2209,Metschnikowia aberdeeniae,10.67,Metschnikowia,Ascomycota,Saccharomycetes,Saccharomycetales,Metschnikowiaceae,NA,NA
2210,Metschnikowia agaves,11.19,Metschnikowia,Ascomycota,Saccharomycetes,Saccharomycetales,Metschnikowiaceae,NA,NA
2211,Metschnikowia arizonensis,16.32,Metschnikowia,Ascomycota,Saccharomycetes,Saccharomycetales,Metschnikowiaceae,NA,NA
2212,Metschnikowia bicuspidata,13.925,Metschnikowia,Ascomycota,Saccharomycetes,Saccharomycetales,Metschnikowiaceae,NA,NA
2213,Metschnikowia bowlesiae,17.46,Metschnikowia,Ascomycota,Saccharomycetes,Saccharomycetales,Metschnikowiaceae,NA,NA
2214,Metschnikowia caudata,10.93,Metschnikowia,Ascomycota,Saccharomycetes,Saccharomycetales,Metschnikowiaceae,NA,NA
2215,Metschnikowia cerradonensis,21.04,Metschnikowia,Ascomycota,Saccharomycetes,Saccharomycetales,Metschnikowiaceae,NA,NA
2216,Metschnikowia colocasiae,15.11,Metschnikowia,Ascomycota,Saccharomycetes,Saccharomycetales,Metschnikowiaceae,NA,NA
2217,Metschnikowia continentalis,22.45,Metschnikowia,Ascomycota,Saccharomycetes,Saccharomycetales,Metschnikowiaceae,NA,NA
2218,Metschnikowia cubensis,20.91,Metschnikowia,Ascomycota,Saccharomycetes,Saccharomycetales,Metschnikowiaceae,NA,NA
2219,Metschnikowia dekortorum,16.5,Metschnikowia,Ascomycota,Saccharomycetes,Saccharomycetales,Metschnikowiaceae,NA,NA
2220,Metschnikowia drakensbergensis,11.98,Metschnikowia,Ascomycota,Saccharomycetes,Saccharomycetales,Metschnikowiaceae,NA,NA
2221,Metschnikowia drosophilae,10.54,Metschnikowia,Ascomycota,Saccharomycetes,Saccharomycetales,Metschnikowiaceae,NA,NA
2222,Metschnikowia fructicola,25.32,Metschnikowia,Ascomycota,Saccharomycetes,Saccharomycetales,Metschnikowiaceae,NA,NA
2223,Metschnikowia gruessii,38.81,Metschnikowia,Ascomycota,Saccharomycetes,Saccharomycetales,Metschnikowiaceae,NA,NA
2224,Metschnikowia hamakuensis,18.99,Metschnikowia,Ascomycota,Saccharomycetes,Saccharomycetales,Metschnikowiaceae,NA,NA
2225,Metschnikowia hawaiiensis,18.69,Metschnikowia,Ascomycota,Saccharomycetes,Saccharomycetales,Metschnikowiaceae,NA,NA
2226,Metschnikowia hibisci,11.53,Metschnikowia,Ascomycota,Saccharomycetes,Saccharomycetales,Metschnikowiaceae,NA,NA
2227,Metschnikowia kamakouana,16.02,Metschnikowia,Ascomycota,Saccharomycetes,Saccharomycetales,Metschnikowiaceae,NA,NA
2228,Metschnikowia kipukae,11.25,Metschnikowia,Ascomycota,Saccharomycetes,Saccharomycetales,Metschnikowiaceae,NA,NA
2229,Metschnikowia lochheadii,20.6,Metschnikowia,Ascomycota,Saccharomycetes,Saccharomycetales,Metschnikowiaceae,NA,NA
2230,Metschnikowia matae,21.66,Metschnikowia,Ascomycota,Saccharomycetes,Saccharomycetales,Metschnikowiaceae,NA,NA
2231,Metschnikowia mauinuiana,17.44,Metschnikowia,Ascomycota,Saccharomycetes,Saccharomycetales,Metschnikowiaceae,NA,NA
2232,Metschnikowia orientalis,12.56,Metschnikowia,Ascomycota,Saccharomycetes,Saccharomycetales,Metschnikowiaceae,NA,NA
2233,Metschnikowia pulcherrima,21.47,Metschnikowia,Ascomycota,Saccharomycetes,Saccharomycetales,Metschnikowiaceae,NA,NA
2234,Metschnikowia rancensis,50.04,Metschnikowia,Ascomycota,Saccharomycetes,Saccharomycetales,Metschnikowiaceae,NA,NA
2235,Metschnikowia reukaufii,16.94,Metschnikowia,Ascomycota,Saccharomycetes,Saccharomycetales,Metschnikowiaceae,NA,NA
2236,Metschnikowia santaceciliae,20.87,Metschnikowia,Ascomycota,Saccharomycetes,Saccharomycetales,Metschnikowiaceae,NA,NA
2237,Metschnikowia shivogae,10.82,Metschnikowia,Ascomycota,Saccharomycetes,Saccharomycetales,Metschnikowiaceae,NA,NA
2238,Metschnikowia similis,17.52,Metschnikowia,Ascomycota,Saccharomycetes,Saccharomycetales,Metschnikowiaceae,NA,NA
2239,Metschnikowia viticola,15.81,Metschnikowia,Ascomycota,Saccharomycetes,Saccharomycetales,Metschnikowiaceae,NA,NA
2240,Meyerozyma athensensis,9.66,Meyerozyma,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,NA,NA
2241,Meyerozyma caribbica,10.57,Meyerozyma,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,NA,NA
2242,Meyerozyma carpophila,10.23,Meyerozyma,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,NA,NA
2243,Meyerozyma guilliermondii,13.03,Meyerozyma,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,NA,NA
2244,Micarea prasina,14.63,Micarea,Ascomycota,Lecanoromycetes,Lecanorales,Pilocarpaceae,NA,NA
2245,Microascus brevicaulis,33.8,Microascus,Ascomycota,Sordariomycetes,Microascales,Microascaceae,NA,NA
2246,Microascus brevicaulis,33.8,Microascus,Ascomycota,Sordariomycetes,Microascales,Microascaceae,NA,NA
2247,Microascus trigonosporus,36.1,Microascus,Ascomycota,Sordariomycetes,Microascales,Microascaceae,AFree living,Saprotroph
2248,Microascus trigonosporus,36.1,Microascus,Ascomycota,Sordariomycetes,Microascales,Microascaceae,AFree living,Saprotroph
2249,Microbotryum intermedium,23.46,Microbotryum,Basidiomycota,Microbotryomycetes,Microbotryales,Microbotryaceae,NA,NA
2250,Microbotryum saponariae,29.08,Microbotryum,Basidiomycota,Microbotryomycetes,Microbotryales,Microbotryaceae,Obligate association,Patotroph
2251,Microbotryum violaceum,27.93,Microbotryum,Basidiomycota,Microbotryomycetes,Microbotryales,Microbotryaceae,NA,NA
2252,Microcyclospora pomicola,23.5,Microcyclospora,Ascomycota,Not assigned,Not assigned,Not assigned,NA,NA
2253,Microcyclospora tardicrescens,26.2,Microcyclospora,Ascomycota,Not assigned,Not assigned,Not assigned,NA,NA
2254,Microcyclosporella mali,27.98,Microcyclosporella,Ascomycota,Dothideomycetes,Mycosphaerellales,Mycosphaerellaceae,NA,NA
2255,Microdochium bolleyi,38.83,Microdochium,Ascomycota,Sordariomycetes,Amphisphaeriales,Phlogicylindriaceae,Facultative association,Pathotroph
2256,Microdochium trichocladiopsis,49.28,Microdochium,Ascomycota,Sordariomycetes,Amphisphaeriales,Phlogicylindriaceae,NA,NA
2257,Micropeziza cornea,45.98,Micropeziza,Ascomycota,Leotiomycetes,Helotiales,Dermateaceae,NA,NA
2258,Microscypha monticola,47.31,Microscypha,Ascomycota,Leotiomycetes,Helotiales,Hyaloscyphaceae,NA,NA
2259,Microsporum canis,23.25,Microsporum,Ascomycota,Eurotiomycetes,Onygenales,Arthrodermataceae,B_Opportunistic association,Pathotroph
2260,Microsporum canis,23.25,Microsporum,Ascomycota,Eurotiomycetes,Onygenales,Arthrodermataceae,B_Opportunistic association,Pathotroph
2261,Microsporum gypseum,23.27,Microsporum,Ascomycota,Eurotiomycetes,Onygenales,Arthrodermataceae,B_Opportunistic association,Pathotroph
2262,Microsporum gypseum,23.27,Microsporum,Ascomycota,Eurotiomycetes,Onygenales,Arthrodermataceae,B_Opportunistic association,Pathotroph
2263,Microsporum gypseum,23.27,Microsporum,Ascomycota,Eurotiomycetes,Onygenales,Arthrodermataceae,B_Opportunistic association,Pathotroph
2264,Microthyrium microscopicum,37.12,Microthyrium,Ascomycota,Dothideomycetes,Microthyriales,Microthyriaceae,NA,NA
2265,Middelhovenomyces tepae,15.07,Middelhovenomyces,Ascomycota,Saccharomycetes,Saccharomycetales,Not assigned,NA,NA
2266,Millerozyma acaciae,11.07,Millerozyma,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,NA,NA
2267,Millerozyma farinosa,15.14333333,Millerozyma,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,NA,NA
2268,Mitrula paludosa,35.83,Mitrula,Ascomycota,Leotiomycetes,Helotiales,Sclerotiniaceae,NA,NA
2269,Mixia osmundae,13.58,Mixia,Basidiomycota,Mixiomycetes,Mixiales,Mixiaceae,NA,NA
2270,Mniaecia jungermanniae,26.98,Mniaecia,Ascomycota,Leotiomycetes,Helotiales,Helotiaceae,NA,NA
2271,Modicella reniformis,43.6,Modicella,Zoopagomycota,Not assigned,Not assigned,Not assigned,NA,NA
2272,Moelleriella libera,30.84,Moelleriella,Ascomycota,Sordariomycetes,Hypocreales,Clavicipitaceae,NA,NA
2273,Moelleriella libera,30.84,Moelleriella,Ascomycota,Sordariomycetes,Hypocreales,Clavicipitaceae,NA,NA
2274,Moesziomyces (genus,17.995,Moesziomyces,Basidiomycota,Ustilaginomycetes,Ustilaginales,Ustilaginaceae,NA,NA
2275,Moesziomyces antarcticus,18.11,Moesziomyces,Basidiomycota,Ustilaginomycetes,Ustilaginales,Ustilaginaceae,NA,NA
2276,Moesziomyces aphidis,17.92,Moesziomyces,Basidiomycota,Ustilaginomycetes,Ustilaginales,Ustilaginaceae,NA,NA
2277,Mollisia amenticola,95.76,Mollisia,Ascomycota,Leotiomycetes,Helotiales,Dermateaceae,NA,NA
2278,Mollisia asteroma,67.64,Mollisia,Ascomycota,Leotiomycetes,Helotiales,Dermateaceae,NA,NA
2279,Mollisia caespiticia,35.91,Mollisia,Ascomycota,Leotiomycetes,Helotiales,Dermateaceae,NA,NA
2280,Mollisia cinerea,47.46,Mollisia,Ascomycota,Leotiomycetes,Helotiales,Dermateaceae,NA,NA
2281,Mollisia coerulans,46.36,Mollisia,Ascomycota,Leotiomycetes,Helotiales,Dermateaceae,NA,NA
2282,Mollisia discolor,49.78,Mollisia,Ascomycota,Leotiomycetes,Helotiales,Dermateaceae,NA,NA
2283,Mollisia escharodes,131.1,Mollisia,Ascomycota,Leotiomycetes,Helotiales,Dermateaceae,NA,NA
2284,Mollisia humidicola,52.06,Mollisia,Ascomycota,Leotiomycetes,Helotiales,Dermateaceae,NA,NA
2285,Mollisia hydrophila,39.9,Mollisia,Ascomycota,Leotiomycetes,Helotiales,Dermateaceae,NA,NA
2286,Mollisia ligni,53.01,Mollisia,Ascomycota,Leotiomycetes,Helotiales,Dermateaceae,NA,NA
2287,Mollisia palustris,45.6,Mollisia,Ascomycota,Leotiomycetes,Helotiales,Dermateaceae,NA,NA
2288,Mollisia rabenhorstii,46.36,Mollisia,Ascomycota,Leotiomycetes,Helotiales,Dermateaceae,NA,NA
2289,Mollisia ramealis,100.13,Mollisia,Ascomycota,Leotiomycetes,Helotiales,Dermateaceae,NA,NA
2290,Mollisia rosae,53.77,Mollisia,Ascomycota,Leotiomycetes,Helotiales,Dermateaceae,NA,NA
2291,Mollisia spectabilis,67.64,Mollisia,Ascomycota,Leotiomycetes,Helotiales,Dermateaceae,NA,NA
2292,Mollisia submelaena,53.01,Mollisia,Ascomycota,Leotiomycetes,Helotiales,Dermateaceae,NA,NA
2293,Mollisia ventosa,79.04,Mollisia,Ascomycota,Leotiomycetes,Helotiales,Dermateaceae,NA,NA
2294,Mollisina acerina,34.96,Mollisina,Ascomycota,Leotiomycetes,Helotiales,Hyaloscyphaceae,NA,NA
2295,Mollisina echinulifera,34.96,Mollisina,Ascomycota,Leotiomycetes,Helotiales,Hyaloscyphaceae,NA,NA
2296,Mollisina rubi,35.91,Mollisina,Ascomycota,Leotiomycetes,Helotiales,Hyaloscyphaceae,NA,NA
2297,Monascus olei,23.64,Monascus,Ascomycota,Eurotiomycetes,Eurotiales,Monascaceae,NA,NA
2298,Monascus purpureus,23.64,Monascus,Ascomycota,Eurotiomycetes,Eurotiales,Monascaceae,NA,NA
2299,Monascus ruber,25.07,Monascus,Ascomycota,Eurotiomycetes,Eurotiales,Monascaceae,Plant,Pathotroph
2300,Monascus ruber,25.07,Monascus,Ascomycota,Eurotiomycetes,Eurotiales,Monascaceae,Plant,Pathotroph
2301,Monilinia aucupariae,54.95,Monilinia,Ascomycota,Leotiomycetes,Helotiales,Sclerotiniaceae,NA,NA
2302,Monilinia baccarum,34.96,Monilinia,Ascomycota,Leotiomycetes,Helotiales,Sclerotiniaceae,NA,NA
2303,Monilinia fructicola,44.15,Monilinia,Ascomycota,Leotiomycetes,Helotiales,Sclerotiniaceae,Facultative association,Pathotroph
2304,Monilinia fructicola,44.15,Monilinia,Ascomycota,Leotiomycetes,Helotiales,Sclerotiniaceae,Facultative association,Pathotroph
2305,Monilinia fructigena,40.59,Monilinia,Ascomycota,Leotiomycetes,Helotiales,Sclerotiniaceae,Facultative association,Pathotroph
2306,Monilinia johnsonii,53.01,Monilinia,Ascomycota,Leotiomycetes,Helotiales,Sclerotiniaceae,NA,NA
2307,Monilinia laxa,41.82,Monilinia,Ascomycota,Leotiomycetes,Helotiales,Sclerotiniaceae,Facultative association,Pathotroph
2308,Monilinia polystroma,44.63,Monilinia,Ascomycota,Leotiomycetes,Helotiales,Sclerotiniaceae,NA,NA
2309,Moniliophthora perniciosa,27.39,Moniliophthora,Basidiomycota,Agaricomycetes,Agaricales,Marasmiaceae,Facultative association,Pathotroph
2310,Moniliophthora roreri,53.9,Moniliophthora,Basidiomycota,Agaricomycetes,Agaricales,Marasmiaceae,Facultative association,Pathotroph
2311,Monosporascus cannonballus,90.32,Monosporascus,Ascomycota,Sordariomycetes,Xylariales,Diatrypaceae,Plant,Pathotroph
2312,Monosporascus ibericus,87.25,Monosporascus,Ascomycota,Sordariomycetes,Xylariales,Diatrypaceae,NA,NA
2313,Morchella angusticeps,56.79,Morchella,Ascomycota,Pezizomycetes,Pezizales,Morchellaceae,NA,NA
2314,Morchella arbutiphila,54.17,Morchella,Ascomycota,Pezizomycetes,Pezizales,Morchellaceae,NA,NA
2315,Morchella brunnea,56.69,Morchella,Ascomycota,Pezizomycetes,Pezizales,Morchellaceae,NA,NA
2316,Morchella brunnea,56.69,Morchella,Ascomycota,Pezizomycetes,Pezizales,Morchellaceae,NA,NA
2317,Morchella conifericola,52.57,Morchella,Ascomycota,Pezizomycetes,Pezizales,Morchellaceae,NA,NA
2318,Morchella crassipes,56.76,Morchella,Ascomycota,Pezizomycetes,Pezizales,Morchellaceae,NA,NA
2319,Morchella deliciosa,56.66,Morchella,Ascomycota,Pezizomycetes,Pezizales,Morchellaceae,NA,NA
2320,Morchella diminutiva,53.42,Morchella,Ascomycota,Pezizomycetes,Pezizales,Morchellaceae,NA,NA
2321,Morchella disparilis,50.42,Morchella,Ascomycota,Pezizomycetes,Pezizales,Morchellaceae,NA,NA
2322,Morchella eohespera,52.04,Morchella,Ascomycota,Pezizomycetes,Pezizales,Morchellaceae,NA,NA
2323,Morchella esculenta,50.23,Morchella,Ascomycota,Pezizomycetes,Pezizales,Morchellaceae,NA,NA
2324,Morchella eximia,73.46,Morchella,Ascomycota,Pezizomycetes,Pezizales,Morchellaceae,NA,NA
2325,Morchella fluvialis,55.01,Morchella,Ascomycota,Pezizomycetes,Pezizales,Morchellaceae,NA,NA
2326,Morchella hispaniolensis,62.73,Morchella,Ascomycota,Pezizomycetes,Pezizales,Morchellaceae,NA,NA
2327,Morchella importuna,48.99,Morchella,Ascomycota,Pezizomycetes,Pezizales,Morchellaceae,NA,NA
2328,Morchella kakiicolor,68.81,Morchella,Ascomycota,Pezizomycetes,Pezizales,Morchellaceae,NA,NA
2329,Morchella palazonii,53.91,Morchella,Ascomycota,Pezizomycetes,Pezizales,Morchellaceae,NA,NA
2330,Morchella peruviana,63.37,Morchella,Ascomycota,Pezizomycetes,Pezizales,Morchellaceae,NA,NA
2331,Morchella prava,52.91,Morchella,Ascomycota,Pezizomycetes,Pezizales,Morchellaceae,NA,NA
2332,Morchella pulchella,57.27,Morchella,Ascomycota,Pezizomycetes,Pezizales,Morchellaceae,NA,NA
2333,Morchella punctipes,54.99,Morchella,Ascomycota,Pezizomycetes,Pezizales,Morchellaceae,NA,NA
2334,Morchella semilibera,51.92,Morchella,Ascomycota,Pezizomycetes,Pezizales,Morchellaceae,NA,NA
2335,Morchella septimelata,50.41,Morchella,Ascomycota,Pezizomycetes,Pezizales,Morchellaceae,NA,NA
2336,Morchella sextelata,52.93,Morchella,Ascomycota,Pezizomycetes,Pezizales,Morchellaceae,NA,NA
2337,Morchella snyderi,54.77,Morchella,Ascomycota,Pezizomycetes,Pezizales,Morchellaceae,NA,NA
2338,Morchella snyderi,54.77,Morchella,Ascomycota,Pezizomycetes,Pezizales,Morchellaceae,NA,NA
2339,Morchella steppicola,81.03,Morchella,Ascomycota,Pezizomycetes,Pezizales,Morchellaceae,NA,NA
2340,Mortierella alpina,37.93,Mortierella,Mucoromycota,Mortierellomycetes,Mortierellales,Mortierellaceae,NA,NA
2341,Mortierella alpina,37.93,Mortierella,Mucoromycota,Mortierellomycetes,Mortierellales,Mortierellaceae,NA,NA
2342,Mortierella alpina,37.93,Mortierella,Mucoromycota,Mortierellomycetes,Mortierellales,Mortierellaceae,NA,NA
2343,Mortierella ambigua,39.11,Mortierella,Mucoromycota,Mortierellomycetes,Mortierellales,Mortierellaceae,NA,NA
2344,Mortierella ambigua,39.11,Mortierella,Mucoromycota,Mortierellomycetes,Mortierellales,Mortierellaceae,NA,NA
2345,Mortierella antarctica,37.97,Mortierella,Mucoromycota,Mortierellomycetes,Mortierellales,Mortierellaceae,NA,NA
2346,Mortierella bisporalis,38.99,Mortierella,Mucoromycota,Mortierellomycetes,Mortierellales,Mortierellaceae,NA,NA
2347,Mortierella camargensis,44.9,Mortierella,Mucoromycota,Mortierellomycetes,Mortierellales,Mortierellaceae,NA,NA
2348,Mortierella capitata,35.51,Mortierella,Mucoromycota,Mortierellomycetes,Mortierellales,Mortierellaceae,NA,NA
2349,Mortierella elongata,50.64,Mortierella,Mucoromycota,Mortierellomycetes,Mortierellales,Mortierellaceae,NA,NA
2350,Mortierella elongata,50.64,Mortierella,Mucoromycota,Mortierellomycetes,Mortierellales,Mortierellaceae,NA,NA
2351,Mortierella elongata,50.64,Mortierella,Mucoromycota,Mortierellomycetes,Mortierellales,Mortierellaceae,NA,NA
2352,Mortierella gamsii,57.79,Mortierella,Mucoromycota,Mortierellomycetes,Mortierellales,Mortierellaceae,NA,NA
2353,Mortierella humilis,36.2,Mortierella,Mucoromycota,Mortierellomycetes,Mortierellales,Mortierellaceae,NA,NA
2354,Mortierella humilis,36.2,Mortierella,Mucoromycota,Mortierellomycetes,Mortierellales,Mortierellaceae,NA,NA
2355,Mortierella minutissima,42.87,Mortierella,Mucoromycota,Mortierellomycetes,Mortierellales,Mortierellaceae,NA,NA
2356,Mortierella polycephala,32.63,Mortierella,Mucoromycota,Mortierellomycetes,Mortierellales,Mortierellaceae,NA,NA
2357,Mortierella polycephala,32.63,Mortierella,Mucoromycota,Mortierellomycetes,Mortierellales,Mortierellaceae,NA,NA
2358,Mortierella verticillata,41.85,Mortierella,Mucoromycota,Mortierellomycetes,Mortierellales,Mortierellaceae,AFree living,Saprotroph
2359,Mortierella wolfii,36.6,Mortierella,Mucoromycota,Mortierellomycetes,Mortierellales,Mortierellaceae,NA,NA
2360,Mortierella wolfii,36.6,Mortierella,Mucoromycota,Mortierellomycetes,Mortierellales,Mortierellaceae,NA,NA
2361,Mortierella wolfii,36.6,Mortierella,Mucoromycota,Mortierellomycetes,Mortierellales,Mortierellaceae,NA,NA
2362,Mortierella wolfii,36.6,Mortierella,Mucoromycota,Mortierellomycetes,Mortierellales,Mortierellaceae,NA,NA
2363,Mrakia blollopis,30.48,Mrakia,Basidiomycota,Tremellomycetes,Cystofilobasidiales,Mrakiaceae,NA,NA
2364,Mrakia frigida,28.4,Mrakia,Basidiomycota,Tremellomycetes,Cystofilobasidiales,Mrakiaceae,NA,NA
2365,Mrakia psychrophila,27.77,Mrakia,Basidiomycota,Tremellomycetes,Cystofilobasidiales,Mrakiaceae,NA,NA
2366,Mucidula mucida,61.73,Mucidula,Basidiomycota,Agaricomycetes,Agaricales,Physalacriaceae,NA,NA
2367,Mucor bainieri,42.6,Mucor,Mucoromycota,Mucoromycetes,Mucorales,Mucoraceae,NA,NA
2368,Mucor bainieri,42.6,Mucor,Mucoromycota,Mucoromycetes,Mucorales,Mucoraceae,NA,NA
2369,Mucor bainieri,42.6,Mucor,Mucoromycota,Mucoromycetes,Mucorales,Mucoraceae,NA,NA
2370,Mucor bainieri,42.6,Mucor,Mucoromycota,Mucoromycetes,Mucorales,Mucoraceae,NA,NA
2371,Mucor circinatus,54.18,Mucor,Mucoromycota,Mucoromycetes,Mucorales,Mucoraceae,NA,NA
2372,Mucor circinelloides,36.65333333,Mucor,Mucoromycota,Mucoromycetes,Mucorales,Mucoraceae,Plant-Human,Pathotroph
2373,Mucor circinelloides,36.65333333,Mucor,Mucoromycota,Mucoromycetes,Mucorales,Mucoraceae,Plant-Human,Pathotroph
2374,Mucor circinelloides,36.65333333,Mucor,Mucoromycota,Mucoromycetes,Mucorales,Mucoraceae,Plant-Human,Pathotroph
2375,Mucor endophyticus,35,Mucor,Mucoromycota,Mucoromycetes,Mucorales,Mucoraceae,NA,NA
2376,Mucor fuscus,40.6,Mucor,Mucoromycota,Mucoromycetes,Mucorales,Mucoraceae,NA,NA
2377,Mucor fuscus,40.6,Mucor,Mucoromycota,Mucoromycetes,Mucorales,Mucoraceae,NA,NA
2378,Mucor heterogamus,54.49,Mucor,Mucoromycota,Mucoromycetes,Mucorales,Mucoraceae,NA,NA
2379,Mucor heterogamus,54.49,Mucor,Mucoromycota,Mucoromycetes,Mucorales,Mucoraceae,NA,NA
2380,Mucor heterogamus,54.49,Mucor,Mucoromycota,Mucoromycetes,Mucorales,Mucoraceae,NA,NA
2381,Mucor indicus,39.8,Mucor,Mucoromycota,Mucoromycetes,Mucorales,Mucoraceae,B_Opportunistic association,Pathotroph
2382,Mucor indicus,39.8,Mucor,Mucoromycota,Mucoromycetes,Mucorales,Mucoraceae,B_Opportunistic association,Pathotroph
2383,Mucor indicus,39.8,Mucor,Mucoromycota,Mucoromycetes,Mucorales,Mucoraceae,B_Opportunistic association,Pathotroph
2384,Mucor indicus,39.8,Mucor,Mucoromycota,Mucoromycetes,Mucorales,Mucoraceae,B_Opportunistic association,Pathotroph
2385,Mucor irregularis,33.365,Mucor,Mucoromycota,Mucoromycetes,Mucorales,Mucoraceae,NA,NA
2386,Mucor lusitanicus,36.7,Mucor,Mucoromycota,Mucoromycetes,Mucorales,Mucoraceae,NA,NA
2387,Mucor mucedo,46.09,Mucor,Mucoromycota,Mucoromycetes,Mucorales,Mucoraceae,Facultative association,Pathotroph-Saprotroph
2388,Mucor mucedo,46.09,Mucor,Mucoromycota,Mucoromycetes,Mucorales,Mucoraceae,Facultative association,Pathotroph-Saprotroph
2389,Mucor plumbeus,48.37,Mucor,Mucoromycota,Mucoromycetes,Mucorales,Mucoraceae,NA,NA
2390,Mucor plumbeus,48.37,Mucor,Mucoromycota,Mucoromycetes,Mucorales,Mucoraceae,NA,NA
2391,Mucor plumbeus,48.37,Mucor,Mucoromycota,Mucoromycetes,Mucorales,Mucoraceae,NA,NA
2392,Mucor racemosus,54.91,Mucor,Mucoromycota,Mucoromycetes,Mucorales,Mucoraceae,Plant,Pathotroph-Symbiotroph
2393,Mucor racemosus,54.91,Mucor,Mucoromycota,Mucoromycetes,Mucorales,Mucoraceae,Plant,Pathotroph-Symbiotroph
2394,Mucor racemosus,54.91,Mucor,Mucoromycota,Mucoromycetes,Mucorales,Mucoraceae,Plant,Pathotroph-Symbiotroph
2395,Mucor racemosus,54.91,Mucor,Mucoromycota,Mucoromycetes,Mucorales,Mucoraceae,Plant,Pathotroph-Symbiotroph
2396,Mucor ramosissimus,39.7,Mucor,Mucoromycota,Mucoromycetes,Mucorales,Mucoraceae,B_Opportunistic association,Pathotroph
2397,Mucor saturninus,39.17,Mucor,Mucoromycota,Mucoromycetes,Mucorales,Mucoraceae,NA,NA
2398,Mucor saturninus,39.17,Mucor,Mucoromycota,Mucoromycetes,Mucorales,Mucoraceae,NA,NA
2399,Multifurca ochricompacta,54.7,Multifurca,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,NA,NA
2400,Muscicola dubia,56.24,Muscicola,Ascomycota,Leotiomycetes,Helotiales,Not assigned,NA,NA
2401,Mutinus elegans,52.78,Mutinus,Basidiomycota,Agaricomycetes,Phallales,Phallaceae,NA,NA
2402,Mycena albidolilacea,126.72,Mycena,Basidiomycota,Agaricomycetes,Agaricales,Mycenaceae,NA,NA
2403,Mycena alexandri,132.31,Mycena,Basidiomycota,Agaricomycetes,Agaricales,Mycenaceae,NA,NA
2404,Mycena amicta,81.43,Mycena,Basidiomycota,Agaricomycetes,Agaricales,Mycenaceae,AFree living,Saprotroph
2405,Mycena austromaculata,104.06,Mycena,Basidiomycota,Agaricomycetes,Agaricales,Mycenaceae,NA,NA
2406,Mycena belliarum,56.44,Mycena,Basidiomycota,Agaricomycetes,Agaricales,Mycenaceae,NA,NA
2407,Mycena capillaripes,119.91,Mycena,Basidiomycota,Agaricomycetes,Agaricales,Mycenaceae,NA,NA
2408,Mycena citricolor,75.08,Mycena,Basidiomycota,Agaricomycetes,Agaricales,Mycenaceae,NA,NA
2409,Mycena crocata,93.99,Mycena,Basidiomycota,Agaricomycetes,Agaricales,Mycenaceae,AFree living,Saprotroph
2410,Mycena epipterygia,118.65,Mycena,Basidiomycota,Agaricomycetes,Agaricales,Mycenaceae,AFree living,Saprotroph
2411,Mycena filopes,97.84,Mycena,Basidiomycota,Agaricomycetes,Agaricales,Mycenaceae,NA,NA
2412,Mycena galericulata,197.14,Mycena,Basidiomycota,Agaricomycetes,Agaricales,Mycenaceae,AFree living,Saprotroph
2413,Mycena galopus,211.36,Mycena,Basidiomycota,Agaricomycetes,Agaricales,Mycenaceae,AFree living,Saprotroph
2414,Mycena haematopus,62.81,Mycena,Basidiomycota,Agaricomycetes,Agaricales,Mycenaceae,AFree living,Saprotroph
