State_canonical_name,State_Alien_Status,APC_name,APC_canonical_name,APC_Alien_Status,APC_Authorship,taxa_status,Status_comparison,Unified_status,establishment_means,degree_of_establishment
Australopyrum velutinum,native,Australopyrum velutinum (Nees) B.K.Simon,Australopyrum velutinum,native,(Nees) B.K.Simon,accepted,Similar for the state flora and the APC,native,native,native
Austrostipa bigeniculata,native,Austrostipa bigeniculata (Hughes) S.W.L.Jacobs & J.Everett,Austrostipa bigeniculata,native,(Hughes) S.W.L.Jacobs & J.Everett,accepted,Similar for the state flora and the APC,native,native,native
Austrostipa densiflora,native,Austrostipa densiflora (Hughes) S.W.L.Jacobs & J.Everett,Austrostipa densiflora,native,(Hughes) S.W.L.Jacobs & J.Everett,accepted,Similar for the state flora and the APC,native,native,native
Austrostipa mollis,native,Austrostipa mollis (R.Br.) S.W.L.Jacobs & J.Everett,Austrostipa mollis,native,(R.Br.) S.W.L.Jacobs & J.Everett,accepted,Similar for the state flora and the APC,native,native,native
Austrostipa nivicola,native,Austrostipa nivicola (J.H.Willis) S.W.L.Jacobs & J.Everett,Austrostipa nivicola,native,(J.H.Willis) S.W.L.Jacobs & J.Everett,accepted,Similar for the state flora and the APC,native,native,native
Austrostipa nodosa,native,Austrostipa nodosa (S.T.Blake) S.W.L.Jacobs & J.Everett,Austrostipa nodosa,native,(S.T.Blake) S.W.L.Jacobs & J.Everett,accepted,Similar for the state flora and the APC,native,native,native
Austrostipa ramosissima,doubtfully naturalised,Austrostipa ramosissima (Trin.) S.W.L.Jacobs & J.Everett,Austrostipa ramosissima,NA,(Trin.) S.W.L.Jacobs & J.Everett,accepted,Not recorded on the APC as present in this state,doubtfully naturalised,introduced,established
Austrostipa rudis subsp. nervosa,native,Austrostipa rudis subsp. nervosa (Vickery) S.W.L.Jacobs & J.Everett,Austrostipa rudis subsp. nervosa,native,(Vickery) S.W.L.Jacobs & J.Everett,accepted,Similar for the state flora and the APC,native,native,native
Austrostipa scabra subsp. falcata,native,Austrostipa scabra subsp. falcata (Hughes) S.W.L.Jacobs & J.Everett,Austrostipa scabra subsp. falcata,native,(Hughes) S.W.L.Jacobs & J.Everett,accepted,Similar for the state flora and the APC,native,native,native
Austrostipa scabra subsp. scabra,native,Austrostipa scabra (Lindl.) S.W.L.Jacobs & J.Everett subsp. scabra,Austrostipa scabra subsp. scabra,native,NA,accepted,Similar for the state flora and the APC,native,native,native
Austrostipa setacea,native,Austrostipa setacea (R.Br.) S.W.L.Jacobs & J.Everett,Austrostipa setacea,native,(R.Br.) S.W.L.Jacobs & J.Everett,accepted,Similar for the state flora and the APC,native,native,native
Austrostipa verticillata,native,Austrostipa verticillata (Nees ex Spreng.) S.W.L.Jacobs & J.Everett,Austrostipa verticillata,NA,(Nees ex Spreng.) S.W.L.Jacobs & J.Everett,accepted,Not recorded on the APC as present in this state,native,native,native
Avena barbata,introduced,Avena barbata Pott ex Link,Avena barbata,naturalised,Pott ex Link,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Avena fatua,introduced,Avena fatua L.,Avena fatua,naturalised,L.,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Avena sativa,doubtfully naturalised,Avena sativa L.,Avena sativa,doubtfully naturalised,L.,accepted,Similar for the state flora and the APC,doubtfully naturalised,introduced,established
Avena sterilis subsp. ludoviciana,formerly naturalised,Avena sterilis subsp. ludoviciana (Durieu) Nyman,Avena sterilis subsp. ludoviciana,formerly naturalised,(Durieu) Nyman,accepted,Similar for the state flora and the APC,formerly naturalised,introduced,not enough information to assign degree of establishment
Avena sterilis subsp. sterilis,doubtfully naturalised,Avena sterilis L. subsp. sterilis,Avena sterilis subsp. sterilis,doubtfully naturalised,NA,accepted,Similar for the state flora and the APC,doubtfully naturalised,introduced,established
Axonopus fissifolius,introduced,Axonopus fissifolius (Raddi) Kuhlm.,Axonopus fissifolius,formerly naturalised,(Raddi) Kuhlm.,accepted,"According to the state flora is introduced, while according to the APC is formerly naturalised",introduced,introduced,not enough information to assign degree of establishment
Azolla pinnata,native,Azolla pinnata R.Br.,Azolla pinnata,NA,R.Br.,accepted,Not recorded on the APC as present in this state,native,native,native
Azolla rubra,native,Azolla rubra R.Br.,Azolla rubra,native,R.Br.,accepted,Similar for the state flora and the APC,native,native,native
Baeckea gunniana,native,Baeckea gunniana Schauer,Baeckea gunniana,native,Schauer,accepted,Similar for the state flora and the APC,native,native,native
Baeckea utilis,native,Baeckea utilis F.Muell. ex Miq.,Baeckea utilis,native,F.Muell. ex Miq.,accepted,Similar for the state flora and the APC,native,native,native
Baloskion australe,native,Baloskion australe (R.Br.) B.G.Briggs & L.A.S.Johnson,Baloskion australe,native,(R.Br.) B.G.Briggs & L.A.S.Johnson,accepted,Similar for the state flora and the APC,native,native,native
Banksia marginata,native,Banksia marginata Cav.,Banksia marginata,native,Cav.,accepted,Similar for the state flora and the APC,native,native,native
Barbarea grayi,native,Barbarea grayi Hewson,Barbarea grayi,native,Hewson,accepted,Similar for the state flora and the APC,native,native,native
Barbarea verna,introduced,Barbarea verna (Mill.) Asch.,Barbarea verna,naturalised,(Mill.) Asch.,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Baumea articulata,native,NA,NA,NA,NA,NA,Not listed on the APC with the name appearing on the state flora,native,native,native
Baumea gunnii,native,NA,NA,NA,NA,NA,Not listed on the APC with the name appearing on the state flora,native,native,native
Baumea rubiginosa,native,Machaerina rubiginosa (Spreng.) T.Koyama,Machaerina rubiginosa,native,(Spreng.) T.Koyama,nomenclatural synonym,Similar for the state flora and the APC,native,native,native
Bedfordia arborescens,native,Bedfordia arborescens Hochr.,Bedfordia arborescens,native,Hochr.,accepted,Similar for the state flora and the APC,native,native,native
Bellardia latifolia,introduced,Parentucellia latifolia (L.) Caruel,Parentucellia latifolia,naturalised,(L.) Caruel,nomenclatural synonym,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Berberis aquifolium,introduced,Berberis aquifolium Pursh,Berberis aquifolium,naturalised,Pursh,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Berberis floribunda,doubtfully naturalised,Berberis floribunda Wall. ex G.Don,Berberis floribunda,doubtfully naturalised,Wall. ex G.Don,accepted,Similar for the state flora and the APC,doubtfully naturalised,introduced,established
Bertya rosmarinifolia,native,Bertya rosmarinifolia (A.Cunn.) Planch.,Bertya rosmarinifolia,native,(A.Cunn.) Planch.,accepted,Similar for the state flora and the APC,native,native,native
Bertya tasmanica var. Fine hairs (I.Crawford 3165),native,Bertya tasmanica var. Fine hairs (I.Crawford 3165) NSW Herbarium,Bertya tasmanica var. Fine hairs (I.Crawford 3165),native,NSW Herbarium,accepted,Similar for the state flora and the APC,native,native,native
Berula erecta,doubtfully naturalised,Berula erecta (Huds.) Coville,Berula erecta,NA,(Huds.) Coville,accepted,Not recorded on the APC as present in this state,doubtfully naturalised,introduced,established
Betula pendula,doubtfully naturalised,Betula pendula Roth,Betula pendula,doubtfully naturalised,Roth,accepted,Similar for the state flora and the APC,doubtfully naturalised,introduced,established
Bidens pilosa var. pilosa,introduced,Bidens pilosa L. var. pilosa,Bidens pilosa var. pilosa,naturalised,NA,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Bidens subalternans var. subalternans,introduced,Bidens subalternans DC. var. subalternans,Bidens subalternans var. subalternans,NA,NA,accepted,Not recorded on the APC as present in this state,introduced,introduced,not enough information to assign degree of establishment
Billardiera fusiformis,introduced,Billardiera fusiformis Labill.,Billardiera fusiformis,NA,Labill.,accepted,Not recorded on the APC as present in this state,introduced,introduced,not enough information to assign degree of establishment
Billardiera heterophylla,introduced,Billardiera heterophylla (Lindl.) L.Cayzer & Crisp,Billardiera heterophylla,naturalised,(Lindl.) L.Cayzer & Crisp,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Billardiera macrantha,native,Billardiera macrantha Hook.f.,Billardiera macrantha,native,Hook.f.,accepted,Similar for the state flora and the APC,native,native,native
Billardiera mutabilis,native,Billardiera mutabilis Salisb.,Billardiera mutabilis,native,Salisb.,accepted,Similar for the state flora and the APC,native,native,native
Billardiera scandens,native,Billardiera scandens Sm.,Billardiera scandens,native,Sm.,accepted,Similar for the state flora and the APC,native,native,native
Blechnum cartilagineum,native,Blechnum cartilagineum Sw.,Blechnum cartilagineum,native,Sw.,accepted,Similar for the state flora and the APC,native,native,native
Blechnum fluviatile,native,Blechnum fluviatile (R.Br.) Lowe ex Salomon,Blechnum fluviatile,native,(R.Br.) Lowe ex Salomon,accepted,Similar for the state flora and the APC,native,native,native
Blechnum minus,native,Blechnum minus (R.Br.) Ettingsh.,Blechnum minus,native,(R.Br.) Ettingsh.,accepted,Similar for the state flora and the APC,native,native,native
Blechnum nudum,native,Blechnum nudum (Labill.) Mett. ex Luerss.,Blechnum nudum,native,(Labill.) Mett. ex Luerss.,accepted,Similar for the state flora and the APC,native,native,native
Blechnum patersonii subsp. patersonii,native,Blechnum patersonii (R.Br.) Mett. subsp. patersonii,Blechnum patersonii subsp. patersonii,native,NA,accepted,Similar for the state flora and the APC,native,native,native
Blechnum pennamarina subsp. alpina,native,NA,NA,NA,NA,NA,Not listed on the APC with the name appearing on the state flora,native,native,native
Blechnum wattsii,native,Blechnum wattsii Tindale,Blechnum wattsii,native,Tindale,accepted,Similar for the state flora and the APC,native,native,native
Bolboschoenus caldwellii,native,Bolboschoenus caldwellii (V.J.Cook) Soják,Bolboschoenus caldwellii,native,(V.J.Cook) Soják,accepted,Similar for the state flora and the APC,native,native,native
Bolboschoenus fluviatilis,native,Bolboschoenus fluviatilis (Torr.) Soják,Bolboschoenus fluviatilis,native,(Torr.) Soják,accepted,Similar for the state flora and the APC,native,native,native
Bolboschoenus medianus,native,Bolboschoenus medianus (V.J.Cook) Soják,Bolboschoenus medianus,native,(V.J.Cook) Soják,accepted,Similar for the state flora and the APC,native,native,native
Boronia algida,native,Boronia algida F.Muell.,Boronia algida,native,F.Muell.,accepted,Similar for the state flora and the APC,native,native,native
Boronia anethifolia,native,Boronia anethifolia A.Cunn. ex Endl.,Boronia anethifolia,native,A.Cunn. ex Endl.,accepted,Similar for the state flora and the APC,native,native,native
Boronia nana var. hyssopifolia,native,Boronia nana var. hyssopifolia Melville,Boronia nana var. hyssopifolia,native,Melville,accepted,Similar for the state flora and the APC,native,native,native
Bossiaea buxifolia,native,Bossiaea buxifolia A.Cunn.,Bossiaea buxifolia,native,A.Cunn.,accepted,Similar for the state flora and the APC,native,native,native
Bossiaea foliosa,native,Bossiaea foliosa A.Cunn.,Bossiaea foliosa,native,A.Cunn.,accepted,Similar for the state flora and the APC,native,native,native
Bossiaea grayi,native,Bossiaea grayi K.L.McDougall,Bossiaea grayi,native,K.L.McDougall,accepted,Similar for the state flora and the APC,native,native,native
Bossiaea prostrata,native,Bossiaea prostrata R.Br.,Bossiaea prostrata,native,R.Br.,accepted,Similar for the state flora and the APC,native,native,native
Bossiaea riparia,native,Bossiaea riparia A.Cunn. ex Benth.,Bossiaea riparia,native,A.Cunn. ex Benth.,accepted,Similar for the state flora and the APC,native,native,native
